   2.830e+02    2.094e+03    1.169e+11    4.380e+08    6.391e+09    1.315e+08    5.397e+09    5.409e+07    1.620e+08    4.276e+50    1.060e+45 
   2.842e+02    2.094e+03    1.174e+11    4.388e+08    6.547e+09    1.314e+08    5.349e+09    5.385e+07    1.584e+08    4.257e+50    1.092e+45 
   2.854e+02    2.094e+03    1.179e+11    4.395e+08    6.705e+09    1.313e+08    5.302e+09    5.361e+07    1.550e+08    4.238e+50    1.124e+45 
   2.866e+02    2.094e+03    1.185e+11    4.402e+08    6.862e+09    1.312e+08    5.254e+09    5.337e+07    1.517e+08    4.219e+50    1.156e+45 
   2.878e+02    2.094e+03    1.190e+11    4.409e+08    7.021e+09    1.311e+08    5.207e+09    5.313e+07    1.485e+08    4.200e+50    1.188e+45 
   2.890e+02    2.094e+03    1.195e+11    4.417e+08    7.180e+09    1.310e+08    5.161e+09    5.290e+07    1.454e+08    4.181e+50    1.220e+45 
   2.902e+02    2.094e+03    1.201e+11    4.424e+08    7.339e+09    1.309e+08    5.115e+09    5.266e+07    1.425e+08    4.163e+50    1.253e+45 
   2.914e+02    2.094e+03    1.206e+11    4.431e+08    7.499e+09    1.309e+08    5.069e+09    5.242e+07    1.397e+08    4.144e+50    1.285e+45 
   2.927e+02    2.094e+03    1.212e+11    4.438e+08    7.660e+09    1.308e+08    5.024e+09    5.219e+07    1.369e+08    4.125e+50    1.318e+45 
   2.939e+02    2.094e+03    1.217e+11    4.445e+08    7.821e+09    1.308e+08    4.978e+09    5.195e+07    1.343e+08    4.107e+50    1.351e+45 
   2.951e+02    2.094e+03    1.223e+11    4.452e+08    7.983e+09    1.308e+08    4.934e+09    5.172e+07    1.317e+08    4.088e+50    1.384e+45 
   2.964e+02    2.094e+03    1.228e+11    4.459e+08    8.146e+09    1.308e+08    4.889e+09    5.148e+07    1.293e+08    4.069e+50    1.417e+45 
   2.976e+02    2.094e+03    1.234e+11    4.466e+08    8.309e+09    1.308e+08    4.845e+09    5.125e+07    1.269e+08    4.051e+50    1.450e+45 
   2.989e+02    2.094e+03    1.239e+11    4.473e+08    8.473e+09    1.309e+08    4.802e+09    5.102e+07    1.246e+08    4.033e+50    1.484e+45 
   3.001e+02    2.094e+03    1.245e+11    4.480e+08    8.638e+09    1.309e+08    4.758e+09    5.079e+07    1.223e+08    4.014e+50    1.517e+45 
   3.014e+02    2.094e+03    1.251e+11    4.487e+08    8.804e+09    1.309e+08    4.715e+09    5.056e+07    1.201e+08    3.996e+50    1.551e+45 
   3.026e+02    2.094e+03    1.256e+11    4.494e+08    8.970e+09    1.310e+08    4.672e+09    5.033e+07    1.180e+08    3.978e+50    1.585e+45 
   3.039e+02    2.094e+03    1.262e+11    4.500e+08    9.137e+09    1.311e+08    4.630e+09    5.010e+07    1.160e+08    3.960e+50    1.619e+45 
   3.052e+02    2.094e+03    1.268e+11    4.507e+08    9.305e+09    1.311e+08    4.588e+09    4.987e+07    1.140e+08    3.942e+50    1.653e+45 
   3.065e+02    2.094e+03    1.274e+11    4.514e+08    9.474e+09    1.312e+08    4.546e+09    4.964e+07    1.121e+08    3.924e+50    1.687e+45 
   3.078e+02    2.094e+03    1.280e+11    4.520e+08    9.644e+09    1.313e+08    4.505e+09    4.942e+07    1.102e+08    3.906e+50    1.721e+45 
   3.091e+02    2.094e+03    1.285e+11    4.527e+08    9.814e+09    1.314e+08    4.464e+09    4.919e+07    1.084e+08    3.888e+50    1.756e+45 
   3.104e+02    2.094e+03    1.291e+11    4.534e+08    9.985e+09    1.315e+08    4.423e+09    4.897e+07    1.066e+08    3.870e+50    1.791e+45 
   3.117e+02    2.094e+03    1.297e+11    4.540e+08    1.016e+10    1.316e+08    4.383e+09    4.874e+07    1.049e+08    3.852e+50    1.826e+45 
   3.130e+02    2.094e+03    1.303e+11    4.547e+08    1.033e+10    1.317e+08    4.343e+09    4.852e+07    1.032e+08    3.835e+50    1.861e+45 
   3.143e+02    2.094e+03    1.309e+11    4.553e+08    1.050e+10    1.318e+08    4.303e+09    4.830e+07    1.016e+08    3.817e+50    1.896e+45 
   3.156e+02    2.094e+03    1.315e+11    4.560e+08    1.068e+10    1.320e+08    4.264e+09    4.808e+07    9.998e+07    3.800e+50    1.931e+45 
   3.169e+02    2.094e+03    1.321e+11    4.566e+08    1.086e+10    1.321e+08    4.225e+09    4.786e+07    9.842e+07    3.782e+50    1.966e+45 
